loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
2015-05-21 13:11:45.603,730,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177905.564706,-6.056640625,-25.82575225830078,44.42697143554688,183.0889282226562,170.5383453369141,10,8241.598989666667,0.0857086181640625,0.0470428466796875,-1.269012451171875,8241.584920666668,0.2068019154957051,0.06673508849185959,0.3409490680285224
2015-05-21 13:11:45.654,731,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177905.643252,-7.473541259765625,-24.62005615234375,45.05724334716797,180.4665222167969,167.9159393310547,10,8241.657216666666,-0.0123748779296875,-0.0900421142578125,-0.7570953369140625,8241.651174666667,0.1966550054263942,-0.534997371379947,-0.002326803844402231
2015-05-21 13:11:45.712,732,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177905.682843,-7.162506103515625,-24.44781494140625,45.02407073974609,179.7922821044922,167.24169921875,10,8241.715432666668,0.0424652099609375,0.0561370849609375,-1.011611938476562,8241.684288666667,-0.9599262949069191,-0.2906800382405137,-0.2131988284340754
2015-05-21 13:11:45.770,733,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177905.761569,-5.50360107421875,-25.75684356689453,43.69717788696289,181.2041778564453,168.6535949707031,10,8241.773671666668,0.0236358642578125,0.014556884765625,-0.673858642578125,8241.750539666667,0.06972422049936454,-0.3380952246043935,-0.1398412572595158
2015-05-21 13:11:45.845,734,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177905.840182,-4.6741943359375,-25.89463043212891,44.62599945068359,180.9380798339844,168.3874969482422,10,8241.831883666668,-0.0150909423828125,-0.0382537841796875,-0.7423553466796875,8241.816762666667,-0.007895739999866926,-0.3294261026239675,0.1132996612035681
2015-05-21 13:11:45.887,735,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177905.879402,-3.67193603515625,-26.06687164306641,44.85820770263672,181.1547546386719,168.6041717529297,10,8241.890127666667,-0.0367279052734375,-0.060028076171875,-0.9829254150390625,8241.883016666667,-0.0862653803459557,-0.425698843398114,-0.1026566042231754
2015-05-21 13:11:45.945,736,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177905.918944,-3.08441162109375,-26.10132598876953,44.62600326538086,180.8883056640625,168.3377227783203,10,8241.948354666667,-0.032012939453125,-0.00592041015625,-1.35418701171875,8241.949239666666,-0.1090545824259817,-0.02544117789352696,-0.4853163675606278
2015-05-21 13:11:46.006,737,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177905.997695,-1.805694580078125,-25.72240447998047,44.65917587280273,182.7443237304688,170.1937408447266,10,8242.006581666667,0.0244140625,-0.119720458984375,-1.310867309570312,8241.982350666667,0.1633167559524552,0.3431890528213881,-0.4382961279864068
2015-05-21 13:11:46.061,738,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177906.037156,-1.7711181640625,-25.82573699951172,44.55965805053711,184.0440673828125,171.4934844970703,10,8242.064809666666,-0.0129852294921875,0.0153045654296875,-1.266448974609375,8242.048595666667,0.1422239874868096,0.4256940497081519,-0.5533880966035982
2015-05-21 13:11:46.120,739,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177906.115856,-3.0152587890625,-25.20566558837891,45.55482482910156,184.7886810302734,172.2380981445312,10,8242.123036666668,-0.1032867431640625,0.0229339599609375,-0.7353515625,8242.114827666666,0.08450076980766918,-0.2025674893624791,-0.6878705411176566
2015-05-21 13:11:46.178,740,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177906.155161,-2.5313720703125,-25.48125457763672,45.09041213989258,185.6650695800781,173.1144866943359,10,8242.181265666668,0.00189208984375,0.12103271484375,-1.111251831054688,8242.181081666668,0.1916703668140929,-0.1928006123807225,0.01557949237696354
2015-05-21 13:11:46.248,741,1432177905.300582,-33.88943325265673,151.1930453406192,25.19971,1.14,170.15625,8,10,-9999,1432177906.234048,-2.082122802734375,-27.16921997070312,45.12358856201172,185.7553253173828,173.2047424316406,10,8242.239491666667,-0.019317626953125,-0.0592803955078125,-0.664947509765625,8242.214192666666,0.2090075455105087,-0.2233297595368458,-0.05805691176372739
2015-05-21 13:11:46.294,742,1432177906.271739,-33.88944444249746,151.1930494477518,25.39795,1.02,166.9921875,8,10,-9999,1432177906.273721,-1.77105712890625,-27.06587982177734,45.42214202880859,185.8484191894531,173.2978363037109,10,8242.297738666668,-0.0091400146484375,-0.1383819580078125,-0.6337127685546875,8242.280415666668,0.3421280494431005,-0.02239851634811143,-0.08048845130935581
2015-05-21 13:11:46.354,743,1432177906.271739,-33.88944444249746,151.1930494477518,25.39795,1.02,166.9921875,8,10,-9999,1432177906.312931,-1.77105712890625,-26.51470184326172,45.15676498413086,185.9153747558594,173.3647918701172,10,8242.355949666668,0.0207672119140625,-0.1217193603515625,-0.838470458984375,8242.346671666668,-0.1043178841111668,0.06327431065530163,-0.3409200395726406
